cluster_id,sampling_frame_id,source_id,publication_year,system_taxon,domain,shared_structure,function_a,function_b,multifunctionality_status,conflict_status,conflict_strength_proxy,architecture_state,structural_differentiation,alternative_accessibility,functional_coupling,temporal_heterogeneity,spatial_heterogeneity,alternative_repertoire,context_axis,study_design,evidence_quality,source_count,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
Drosera_hookeri_macro,PILOT_DISCOVERY_V1,FatalAttraction_2026_AnnBot,2026,Drosera hookeri,plant_reproductive,flower-mediated insect attraction near trap leaves,pollination,prey capture,YES,UNRESOLVED,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,flowering_x_pollinator_capture,long-term field video hand-pollination and prey experiment,HIGH,1,SCREENED,false,,PubMed:42324988,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Nicotiana_attenuata_macro,PILOT_DISCOVERY_V1,Kessler_program_2008_2018,2018,Nicotiana attenuata,plant_reproductive,floral chemical and reward signal system,pollinator attraction,antagonist avoidance and defence,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,unresolved,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollinator_service_x_hawkmoth_oviposition_x_defence,multi-study experimental programme,HIGH,1,SCREENED,false,,SCH_NICOTIANA_PROGRAM_COMPOSITE_BRIDGE_V1,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Cichlid_oral_pharyngeal_jaws_macro,PILOT_DISCOVERY_V1,Burress_et_al_2020_Evolution;Ronco_et_al_2021_EvolutionLetters,2021,Lake Tanganyika cichlid radiation,animal_morphology,feeding jaw apparatus,prey capture,food processing,YES,POSITIVE,HIGH,PARTIAL_STRUCTURAL_DIFFERENTIATION,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,oral_x_pharyngeal_jaw_function,phylogenetic comparative morphology,HIGH,2,SCREENED,false,,Burress_et_al_2020_decoupled_jaws;Ronco_et_al_2021_Evolution_Letters,pilot_screen_only_not_primary_model,"First-pass macro coding: structural separation of prey capture and processing escapes the force-mobility constraints of a single jaw system, while residual integration remains; requires independent adjudication."
Darwin_finches_beak_song_macro,PILOT_DISCOVERY_V1,Herrel_Podos_et_al_2009_FuncEcol,2009,Darwin finches Geospiza and allies,animal_morphology,beak and jaw apparatus,feeding and bite force,song production,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,LOW,HIGH,UNRESOLVED,UNRESOLVED,UNRESOLVED,feeding_performance_x_vocal_performance,within-and-among-species biomechanics,HIGH,1,SCREENED,false,,doi:10.1111/j.1365-2435.2008.01494.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Woodcreeper_beak_song_macro,PILOT_DISCOVERY_V1,Derryberry_et_al_2012_Evolution,2012,Dendrocolaptinae woodcreepers,animal_morphology,beak and vocal tract,foraging performance,song production,YES,POSITIVE,MEDIUM,SHARED_INTEGRATED,false,LOW,HIGH,UNRESOLVED,UNRESOLVED,UNRESOLVED,foraging_morphology_x_song_performance,phylogenetic comparative analysis,HIGH,1,SCREENED,false,,doi:10.1111/j.1558-5646.2012.01642.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Meliphagidae_beak_multifunction_macro,PILOT_DISCOVERY_V1,Friedman_et_al_2019_ProcB,2019,Meliphagidae honeyeaters,animal_morphology,beak,foraging,thermoregulation and song performance,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SHARED_INTEGRATED,false,LOW,HIGH,UNRESOLVED,HIGH,UNRESOLVED,foraging_x_climate_x_song,phylogenetic comparative geometric morphometrics,HIGH,1,SCREENED,false,,PMC6939928,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Fiddler_crab_major_claw_macro,PILOT_DISCOVERY_V1,Levinton_et_al_1995_JEMBE;Pratt_2002_FunctionalEcology,2013,fiddler crabs Uca sensu lato,animal_morphology,paired chelipeds,feeding,courtship signalling and combat,YES,POSITIVE,HIGH,PARTIAL_STRUCTURAL_DIFFERENTIATION,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,feeding_x_sexual_selection,functional mechanics plus behavioural foraging comparison,HIGH,2,SCREENED,false,,functional_differentiation_major_minor_claws,pilot_screen_only_not_primary_model,Male fiddler crabs retain one minor feeding claw while the homologous major claw is enlarged for courtship and combat; the split imposes measurable feeding costs and represents paired-module specialization.
Drosophila_wing_song_flight_macro,PILOT_DISCOVERY_V1,Shirangi_et_al_2018_CurrentBiology,2018,Drosophila melanogaster,animal_morphology,wing muscles and motor neurons,flight,courtship song,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,REGULATORY_TEMPORAL_SEPARATION,false,MEDIUM,HIGH,HIGH,UNRESOLVED,UNRESOLVED,flight_x_courtship_song,live imaging and motor-neuron silencing,HIGH,1,SCREENED,false,,doi:10.1016/j.cub.2018.06.038,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Bicyclus_wing_signal_partition_macro,PILOT_DISCOVERY_V1,Oliver_et_al_2009_ProcB,2009,Bicyclus butterflies,animal_morphology,wing visual pattern system,mate signalling,predator avoidance,YES,POSITIVE,UNRESOLVED,SPATIAL_COMPARTMENTALIZATION,false,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,MULTIPLE,dorsal_x_ventral_wing_surface,54-species phylogenetic comparative analysis,HIGH,1,SCREENED,false,,PMC2690465,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Papilionidae_UV_wing_partition_macro,PILOT_DISCOVERY_V1,Puissant_et_al_2025_Evolution,2025,Papilionidae butterflies,animal_morphology,UV wing pattern system,sexual and species-recognition signalling,predator avoidance,YES,POSITIVE,UNRESOLVED,SPATIAL_COMPARTMENTALIZATION,false,HIGH,MEDIUM,UNRESOLVED,HIGH,UNRESOLVED,dorsal_x_ventral_UV_pattern,77-species phylogenetic comparative analysis,HIGH,1,SCREENED,false,,Evolution_79_6_995,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Dragonfly_sexual_wing_color_macro,PILOT_DISCOVERY_V1,Moore_et_al_2019_EcologyLetters,2019,dragonfly sexual wing coloration system,animal_morphology,melanized wing patch,sexual signalling and territorial success,thermal performance,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,HIGH,HIGH,UNRESOLVED,sexual_signal_x_temperature,field behaviour physiology and geographic images,HIGH,1,SCREENED,false,,doi:10.1111/ele.13200,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Colias_wing_melanization_macro,PILOT_DISCOVERY_V1,Ellers_Boggs_2004_JEB,2004,Colias butterflies,animal_morphology,dorsal and ventral wing melanization,thermoregulation,sexual signalling,YES,POSITIVE,UNRESOLVED,SPATIAL_COMPARTMENTALIZATION,false,HIGH,MEDIUM,UNRESOLVED,HIGH,UNRESOLVED,dorsal_x_ventral_melanization_x_elevation,quantitative genetics and comparative analysis,MODERATE,1,SCREENED,false,,doi:10.1111/j.1420-9101.2004.00736.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Gryllus_firmus_wing_calling_macro,PILOT_DISCOVERY_V1,Crnokrak_Roff_1998_Evolution,1998,Gryllus firmus,animal_morphology,wing and flight-muscle phenotype,flight capability,calling and reproduction,YES,POSITIVE,UNRESOLVED,POLYMORPHIC,unresolved,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,UNRESOLVED,wing_morph_x_calling,quantitative genetic wing-dimorphism study,MODERATE,1,SCREENED,false,,doi:10.1111/j.1558-5646.1998.tb01838.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Homarus_claw_dimorphism_macro,PILOT_DISCOVERY_V1,Govind_1984_BiolBull,1984,Homarus americanus,animal_morphology,paired chelipeds,fast cutting and manipulation,slow high-force crushing,YES,POSITIVE,UNRESOLVED,PARTIAL_STRUCTURAL_DIFFERENTIATION,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,cutter_x_crusher_claw_function,developmental neuromuscular comparative morphology,HIGH,1,SCREENED,false,,doi:10.2307/1541340,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Aeglidae_claw_asymmetry_macro,PILOT_DISCOVERY_V1,Palaoro_program_2022_BJLS,2022,Aeglidae freshwater anomurans,animal_morphology,paired claws,food manipulation,conspecific fighting,YES,UNRESOLVED,UNRESOLVED,PARTIAL_STRUCTURAL_DIFFERENTIATION,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,food_manipulation_x_fighting,comparative claw morphology,MODERATE,1,SCREENED,false,,Biol_J_Linnean_136_1_173,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Calopterygid_wing_pigmentation_macro,PILOT_DISCOVERY_V1,Svensson_et_al_2013_program,2013,Calopterygidae damselflies,animal_morphology,wing pigmentation,sexual signalling and species recognition,thermoregulation,YES,UNRESOLVED,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,sexual_selection_x_latitude_temperature,phylogenetic reconstruction plus field experiment,MODERATE,1,SCREENED,false,,PubMed:24107378,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Yeast_GAL1_GAL3_macro,PILOT_DISCOVERY_V1,Hittinger_Carroll_2007_Nature,2007,Saccharomyces cerevisiae GAL1/GAL3 system,molecular_gene,ancestral bifunctional GAL gene,galactokinase activity,transcriptional coinduction,YES,POSITIVE,HIGH,SEPARATE_MODULES,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,metabolism_x_regulatory_sensing,ancestral comparison and precise coding/promoter replacements,HIGH,1,SCREENED,false,,doi:10.1038/nature06151,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Ipomoea_DFR_macro,PILOT_DISCOVERY_V1,DesMarais_Rausher_2008_Nature,2008,Convolvulaceae DFR gene family,molecular_gene,ancestral DFR enzyme active site,ancestral flavonoid substrate reduction,derived flavonoid substrate reduction,YES,POSITIVE,HIGH,SEPARATE_MODULES,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,MULTIPLE,substrate_specificity_x_gene_duplication,phylogenetics positive selection and enzyme assays,HIGH,1,SCREENED,false,,doi:10.1038/nature07092,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Salmonella_HisA_TrpF_macro,PILOT_DISCOVERY_V1,Näsvall_program_2020,2020,Salmonella enterica HisA/TrpF experimental system,molecular_gene,HisA enzyme active site,HisA ancestral activity,TrpF acquired activity,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,MEDIUM,HIGH,UNRESOLVED,UNRESOLVED,ONE,HisA_x_TrpF_activity,mutational scanning and experimental evolution,HIGH,1,SCREENED,false,,PMC7591586,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Salmonella_TrpA_TrpF_rescue_macro,PILOT_DISCOVERY_V1,Abdalaal_et_al_2026,2026,Salmonella enterica trpA/trpF-loss experimental system,molecular_gene,single enzyme sequence acquiring second pathway activity,ancestral enzyme function,TrpF rescue function,YES,POSITIVE,UNRESOLVED,SHARED_INTEGRATED,false,MEDIUM,HIGH,UNRESOLVED,UNRESOLVED,ONE,ancestral_function_x_TrpF_rescue,experimental evolution whole-genome sequencing and reconstruction,HIGH,1,SCREENED,false,,PubMed:42405529,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
coGFP_dual_color_macro,PILOT_DISCOVERY_V1,Mihajlovic_2025_program,2025,Escherichia coli coGFP construct,molecular_gene,fluorescent protein sequence,green fluorescence,blue fluorescence,YES,POSITIVE,UNRESOLVED,SHARED_INTEGRATED,false,HIGH,HIGH,UNRESOLVED,UNRESOLVED,ONE,green_x_blue_fluorescence,directed evolution single-copy versus two-copy constructs,HIGH,1,SCREENED,false,,BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Antarctic_zoarcid_SAS_AFPIII_macro,PILOT_DISCOVERY_V1,Deng_et_al_2010_PNAS,2010,Antarctic zoarcid fish SAS-B/AFPIII system,molecular_gene,ancestral SAS-B protein,sialic acid synthase,ice binding and antifreeze function,YES,POSITIVE,HIGH,SEPARATE_MODULES,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,SAS_x_ice_binding,comparative molecular reconstruction and functional assays,HIGH,1,SCREENED,false,,doi:10.1073/pnas.1007883107,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Duck_delta_crystallin_ASL_macro,PILOT_DISCOVERY_V1,Piatigorsky_et_al_1988_PNAS,1988,duck delta-crystallin/argininosuccinate lyase system,molecular_gene,delta-crystallin/ASL gene product,argininosuccinate lyase enzyme activity,lens structural protein,YES,UNRESOLVED,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,HIGH,UNRESOLVED,UNRESOLVED,UNRESOLVED,metabolic_enzyme_x_lens_structure,biochemical activity and genomic hybridization,HIGH,1,SCREENED,false,,doi:10.1073/pnas.85.10.3479,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Chicken_delta_crystallin_ASL_macro,PILOT_DISCOVERY_V1,Piatigorsky_et_al_1988_PNAS,1988,chicken delta-crystallin/argininosuccinate lyase system,molecular_gene,delta-crystallin paralog system,argininosuccinate lyase enzyme activity,lens structural protein,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,unresolved,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,metabolic_enzyme_x_lens_structure,biochemical activity and genomic hybridization,MODERATE,1,SCREENED,false,,doi:10.1073/pnas.85.10.3479,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Platypus_LDHA_crystallin_macro,PILOT_DISCOVERY_V1,Wistow_program_2003_MBE,2003,Ornithorhynchus anatinus LDH-A upsilon-crystallin,molecular_gene,LDH-A protein recruited to lens,lactate dehydrogenase housekeeping activity,lens structural protein,YES,UNRESOLVED,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,HIGH,UNRESOLVED,UNRESOLVED,UNRESOLVED,housekeeping_enzyme_x_lens_structure,sequence expression and biochemical characterization,MODERATE,1,SCREENED,false,,MBE_20_6_994,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Yeast_MALS_maltase_isomaltase_macro,PILOT_DISCOVERY_V1,Voordeckers_et_al_2012_PLoSBiol,2012,fungal MALS alpha-glucosidase family,molecular_gene,ancestral promiscuous alpha-glucosidase active site,maltose-like substrate hydrolysis,isomaltose-like substrate hydrolysis,YES,POSITIVE,HIGH,SEPARATE_MODULES,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,MULTIPLE,maltase_x_isomaltase_specificity,ancestral protein reconstruction and enzyme kinetics,HIGH,1,SCREENED,false,,doi:10.1371/journal.pbio.1001446,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Plant_starch_enzyme_duplications_macro,PILOT_DISCOVERY_V1,Nougué_et_al_2014_program,2014,plant starch biosynthesis enzyme families,molecular_gene,ancestral starch-pathway enzyme subfunctions,ancestral catalytic subfunction A,ancestral catalytic or interaction subfunction B,YES,UNRESOLVED,UNRESOLVED,SEPARATE_MODULES,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,MULTIPLE,duplicate_enzyme_functional_specialization,13-duplication molecular evolutionary analysis,MODERATE,1,SCREENED,false,,PubMed:24884572,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
